State,City,population,violent_crime,murder_and_manslaughter,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,,,
ALABAMA,Abbeville,"2,645",11,1,1,2,7,63,21,39,3,,,,
,Adamsville,"4,481",19,1,0,7,11,321,58,252,11,,,,
,Addison,744,1,0,1,0,0,25,6,17,2,,,,
,Alabaster,"31,170",44,0,2,11,31,640,70,544,26,,,,
,Alexander City,"14,692",119,2,16,12,89,661,121,510,30,,,,
,Aliceville,"2,419",7,0,0,2,5,48,16,26,6,,,,
,Andalusia,"9,079",34,1,4,6,23,491,95,379,17,,,,
,Anniston,"22,648",461,5,39,78,339,"1,988",770,"1,120",98,,,,
,Arab,"8,295",32,0,5,4,23,640,166,414,60,,,,
,Ardmore,"1,304",2,0,0,0,2,31,7,23,1,,,,
,Arley,353,3,0,0,0,3,27,12,11,4,,,,
,Ashford,"2,177",2,0,0,0,2,54,8,46,0,,,,
,Ashland,"1,926",9,0,0,1,8,63,24,35,4,,,,
,Ashville,"2,239",10,0,1,0,9,88,35,48,5,,,,
,Athens,"23,972",16,0,1,11,4,755,116,627,12,,,,
,Atmore,"10,099",52,2,4,9,37,201,41,150,10,,,,
,Auburn,"57,970",115,2,6,35,72,"1,930",346,"1,514",70,,,,
,Bay Minette,"8,398",47,0,3,5,39,272,33,221,18,,,,
,Bear Creek,"1,059",4,0,0,0,4,12,2,8,2,,,,
,Bessemer,"27,240",527,3,15,161,348,"3,199",725,"2,265",209,,,,
,Birmingham,"212,001","2,852",63,178,969,"1,642","14,157","4,018","8,661","1,478",,,,
,Blountsville,"1,697",6,0,3,0,3,71,14,49,8,,,,
,Brent,"4,894",16,0,1,3,12,90,12,72,6,,,,
,Brewton,"5,331",47,0,7,2,38,258,43,202,13,,,,
,Bridgeport,"2,389",13,0,1,0,12,6,0,6,0,,,,
,Brilliant,892,4,0,0,2,2,23,8,13,2,,,,
,Butler,"1,850",6,0,0,1,5,40,15,22,3,,,,
,Camp Hill,995,22,1,2,1,18,29,13,14,2,,,,
,Carbon Hill,"1,988",14,0,1,5,8,121,30,78,13,,,,
,Cedar Bluff,"1,814",20,0,1,1,18,191,63,122,6,,,,
,Centre,"3,603",21,0,4,2,15,254,41,194,19,,,,
,Centreville,"2,708",0,0,0,0,0,36,9,25,2,,,,
,Chickasaw,"6,001",53,0,5,13,35,401,152,230,19,,,,
,Childersburg,"5,111",1,0,0,1,0,104,42,59,3,0,,,
,Citronelle,"3,881",22,2,0,2,18,169,45,106,18,,,,
,Clanton,"8,682",52,0,2,10,40,597,66,512,19,,,,
,Clayton,"2,967",8,0,0,1,7,41,22,18,1,,,,
,Coaling,"1,677",10,0,0,1,9,92,22,63,7,,,,
,Collinsville,"1,978",6,0,1,1,4,65,24,38,3,,,,
,Cordova,"2,050",15,0,4,0,11,48,10,34,4,,,,
,Creola,"1,924",10,0,1,1,8,56,9,46,1,,,,
,Crossville,"1,850",0,0,0,0,0,25,5,17,3,,,,
,Cullman,"14,881",31,2,6,7,16,633,110,493,30,,,,
,Dadeville,"3,186",17,0,3,1,13,151,34,107,10,,,,
,Daleville,"5,260",17,0,5,1,11,103,25,64,14,,,,
,Daphne,"23,204",31,1,3,5,22,526,89,421,16,,,,
,Dauphin Island,"1,236",4,0,2,0,2,65,13,50,2,,,,
,Decatur,"56,091",149,5,12,26,106,"2,553",569,"1,831",153,,,,
,Demopolis,"7,240",47,1,3,4,39,293,43,246,4,1,,,
,Dora,"1,992",21,0,6,1,14,127,32,80,15,,,,
,Dothan,"67,811",334,4,16,78,236,"2,502",591,"1,802",109,,,,
,Double Springs,"1,064",5,0,0,0,5,27,6,19,2,,,,
,Douglas,762,1,0,0,0,1,61,21,37,3,,,,
,East Brewton,"2,437",22,0,1,0,21,60,18,36,6,,,,
,Eclectic,"1,015",11,0,2,0,9,60,14,46,0,,,,
,Elba,"3,955",29,0,4,6,19,157,46,108,3,,,,
,Enterprise,"28,145",112,2,11,25,74,774,154,573,47,3,,,
,Eufaula,"12,896",78,0,4,11,63,496,143,328,25,,,,
,Eutaw,"2,871",46,0,2,4,40,77,19,54,4,,,,
,Evergreen,"3,843",37,0,5,2,30,223,59,150,14,,,,
,Fairfield,"11,003",181,4,12,67,98,"1,007",284,650,73,,,,
,Fairhope,"16,847",40,0,6,6,28,678,144,515,19,,,,
,Fayette,"4,530",11,0,1,2,8,66,7,51,8,,,,
,Flomaton,"1,423",9,0,4,1,4,49,14,32,3,,,,
,Florala,"1,988",10,0,4,1,5,33,5,25,3,,,,
,Florence,"39,481",207,3,28,56,120,"1,807",324,"1,380",103,,,,
,Foley,"15,615",55,0,4,10,41,789,111,656,22,,,,
,Fyffe,"1,025",3,0,0,0,3,19,2,16,1,,,,
,Gadsden,"36,610",424,6,47,104,267,"2,934",830,"1,904",200,14,,,
,Gardendale,"13,830",53,1,2,7,43,664,103,546,15,,,,
,Geneva,"4,501",13,0,2,2,9,150,47,93,10,,,,
,Georgiana,"1,666",12,0,0,0,12,57,17,36,4,,,,
,Glencoe,"5,222",13,0,2,1,10,107,42,60,5,,,,
,Grant,915,4,0,0,0,4,51,17,30,4,,,,
,Greenville,"7,820",0,0,0,0,0,0,0,0,0,,,,
,Guin,"2,348",16,0,0,1,15,58,13,43,2,,,,
,Gulf Shores,"10,233",51,0,4,5,42,649,97,531,21,,,,
,Guntersville,"8,388",48,0,5,10,33,603,99,477,27,,,,
,Gurley,794,4,0,2,0,2,26,8,16,2,,,,
,Hackleburg,"1,498",3,0,0,0,3,29,10,15,4,,,,
,Hamilton,"6,546",12,0,1,1,10,124,29,86,9,,,,
,Hanceville,"3,173",16,0,1,1,14,101,28,60,13,,,,
,Hartford,"2,653",13,0,0,1,12,84,17,64,3,,,,
,Hartselle,"14,563",19,0,0,4,15,360,63,277,20,,,,
,Headland,"4,694",7,0,1,2,4,91,29,60,2,,,,
,Helena,"17,306",18,0,6,1,11,169,20,140,9,,,,
,Henagar,"2,343",3,0,0,0,3,46,14,25,7,,,,
,Hokes Bluff,"4,361",3,0,0,0,3,35,11,17,7,,,,
,Hoover,"84,139",74,2,9,34,29,"2,596",344,"2,144",108,1,,,
,Hueytown,"15,956",26,1,3,2,20,646,116,502,28,,,,
,Huntsville,"184,738","1,507",24,87,391,"1,005","9,216","1,884","6,629",703,,,,
,Ider,718,5,0,2,0,3,38,12,22,4,,,,
,Irondale,"12,452",46,0,5,12,29,463,116,312,35,,,,
,Jackson,"5,038",34,0,5,4,25,208,45,158,5,,,,
,Jacksonville,"12,385",35,0,3,10,22,589,137,439,13,,,,
,Jasper,"14,185",113,1,7,26,79,981,199,743,39,,,,
,Jemison,"2,601",13,2,1,1,9,131,31,98,2,,,,
,Kinsey,"2,228",2,0,0,1,1,25,10,14,1,,,,
,Lafayette,"2,982",19,0,4,1,14,70,15,48,7,,,,
,Lake View,"2,064",6,0,0,0,6,16,3,12,1,,,,
,Lanett,"6,424",75,1,4,13,57,473,138,300,35,,,,
,Leeds,"11,914",57,2,4,17,34,540,72,440,28,,,,
,Leesburg,"1,020",10,0,1,0,9,61,16,41,4,,,,
,Leighton,724,8,0,4,1,3,27,15,12,0,,,,
,Level Plains,"2,092",11,0,3,1,7,40,7,31,2,,,,
,Lincoln,"6,365",31,2,5,5,19,374,97,244,33,,,,
,Linden,"2,036",16,0,2,1,13,47,28,17,2,,,,
,Livingston,"3,461",18,0,1,2,15,98,35,57,6,,,,
,Loxley,"1,694",17,0,2,2,13,170,40,108,22,,,,
,Luverne,"2,863",11,0,1,0,10,68,13,47,8,,,,
,Madison,"45,540",133,2,17,27,87,"1,200",214,947,39,,,,
